ticker
AAPL
ABNB
ADI
AFRM
AMAT
AMD
AMZN
ARM
ASML
AVGO
AZN
BA
BILL
BKNG
CAT
CAVA
CELH
CIFR
COIN
CRM
CRWD
CVX
DASH
DDOG
DE
DKNG
DOCN
DUOL
ENPH
ETSY
EXPE
FCX
FSLR
GE
GLBE
GOOGL
HUBS
INTC
IOT
IOVA
IREN
KLAC
KVYO
LCID
LLY
LMT
LRCX
MDB
MELI
META
MRK
MSFT
MU
NET
NFLX
NIO
NOC
NOW
NUE
NVDA
NXPI
OKTA
OPEN
ORCL
PANW
PARA
PATH
PAYC
PFE
PINS
PLTR
QCOM
RBLX
REGN
RIVN
ROKU
RTX
RUN
SAP
SEDG
SHOP
SMCI
SNOW
SNY
SOFI
SQ
TOST
TSLA
TSM
TTD
TWLO
TXN
UBER
UPST
VRTX
WBD
XOM
XPEV
ZS
